, Time(), Date, Local Time, Latitude(deg), Longitude(deg), Altitude(m), Heading(deg), Pitch(deg), Roll(deg),TimestampGPS,TimestampHDF,x,y,z,heading,pitch,roll
0,2500590000,2023-12-18,18:41:40.590,41.22081003,1.73101841,60.013000000000005,332.29,0.317,-0.08199999999999999,1702924900590000.0,1702924899591505,0.0,0.0,0.0,332.29,0.317,-0.08199999999999999
1,2500600000,2023-12-18,18:41:40.600,41.22081006,1.73101839,60.012,332.293,0.316,-0.079,1702924900600000.0,1702924899601360,-0.0016278437688015401,0.0033549917861819267,-0.0010000000000047748,332.293,0.316,-0.079
2,2500610000,2023-12-18,18:41:40.610,41.22081009,1.73101837,60.012,332.296,0.318,-0.077,1702924900609999.0,1702924899611432,-0.0032556875376030803,0.006709987297654152,-0.0010000000000047748,332.296,0.318,-0.077
3,2500620000,2023-12-18,18:41:40.620,41.22081012,1.73101835,60.012,332.29900000000004,0.321,-0.073,1702924900619999.0,1702924899621496,-0.00488353130640462,0.010064980015158653,-0.0010000000000047748,332.29900000000004,0.321,-0.073
4,2500630000,2023-12-18,18:41:40.630,41.22081015,1.73101833,60.012,332.301,0.318,-0.07,1702924900630000.0,1702924899631362,-0.0065113750752061605,0.01341997180134058,-0.0010000000000047748,332.301,0.318,-0.07
5,2500640000,2023-12-18,18:41:40.640,41.22081018,1.73101831,60.012,332.301,0.304,-0.067,1702924900640000.0,1702924899641390,-0.008139218902215362,0.016774965450167656,-0.0010000000000047748,332.301,0.304,-0.067
6,2500650000,2023-12-18,18:41:40.650,41.22081021,1.73101829,60.012,332.30300000000005,0.297,-0.063,1702924900649999.0,1702924899651476,-0.009767062671016902,0.020129958167672157,-0.0010000000000047748,332.30300000000005,0.297,-0.063
7,2500660000,2023-12-18,18:41:40.660,41.22081024,1.73101827,60.012,332.30400000000003,0.299,-0.06,1702924900659999.0,1702924899661374,-0.011394906439818442,0.02348495088517666,-0.0010000000000047748,332.30400000000003,0.299,-0.06
8,2500670000,2023-12-18,18:41:40.670,41.22081027,1.73101826,60.012,332.30300000000005,0.305,-0.057999999999999996,1702924900670000.0,1702924899671390,-0.012184520426671952,0.026827708818018436,-0.0010000000000047748,332.30300000000005,0.305,-0.057999999999999996
9,2500680000,2023-12-18,18:41:40.680,41.2208103,1.73101824,60.012,332.30400000000003,0.309,-0.057,1702924900679999.0,1702924899681482,-0.013812364195473492,0.030182702466845512,-0.0010000000000047748,332.30400000000003,0.309,-0.057
10,2500690000,2023-12-18,18:41:40.690,41.22081033,1.73101822,60.012,332.30300000000005,0.304,-0.055999999999999994,1702924900689999.0,1702924899691321,-0.015440207964275032,0.033537695184350014,-0.0010000000000047748,332.30300000000005,0.304,-0.055999999999999994
11,2500700000,2023-12-18,18:41:40.700,41.22081036,1.7310182,60.012,332.301,0.295,-0.055999999999999994,1702924900700000.0,1702924899701375,-0.017068051733076572,0.03689268883317709,-0.0010000000000047748,332.301,0.295,-0.055999999999999994
12,2500710000,2023-12-18,18:41:40.710,41.22081039,1.73101818,60.012,332.3,0.295,-0.055999999999999994,1702924900710000.0,1702924899711449,-0.018695895501878113,0.040247680619359016,-0.0010000000000047748,332.3,0.295,-0.055999999999999994
13,2500720000,2023-12-18,18:41:40.720,41.22081042,1.73101816,60.012,332.29900000000004,0.302,-0.057,1702924900719999.0,1702924899721317,-0.020323739270679653,0.04360267426818609,-0.0010000000000047748,332.29900000000004,0.302,-0.057
14,2500730000,2023-12-18,18:41:40.730,41.22081045,1.73101814,60.012,332.29699999999997,0.312,-0.057999999999999996,1702924900729999.0,1702924899731365,-0.021951583039481193,0.04695766791701317,-0.0010000000000047748,332.29699999999997,0.312,-0.057999999999999996
15,2500740000,2023-12-18,18:41:40.740,41.22081048,1.73101812,60.011,332.296,0.314,-0.059000000000000004,1702924900740000.0,1702924899741450,-0.023579426808282733,0.05031265877187252,-0.0020000000000024443,332.296,0.314,-0.059000000000000004
16,2500750000,2023-12-18,18:41:40.750,41.22081051,1.7310181,60.011,332.29400000000004,0.305,-0.061,1702924900750000.0,1702924899751310,-0.025207270577084273,0.053667654283344746,-0.0020000000000024443,332.29400000000004,0.305,-0.061
17,2500760000,2023-12-18,18:41:40.760,41.22081054,1.73101809,60.011,332.292,0.301,-0.061,1702924900759999.0,1702924899761343,-0.025996884563937783,0.05701041128486395,-0.0020000000000024443,332.292,0.301,-0.061
18,2500770000,2023-12-18,18:41:40.770,41.22081057,1.73101806,60.011,332.292,0.308,-0.061,1702924900770000.0,1702924899771432,-0.028462958056479692,0.06037763971835375,-0.0020000000000024443,332.292,0.308,-0.061
