, Time(), Date, Local Time, Latitude(deg), Longitude(deg), Altitude(m), Heading(deg), Pitch(deg), Roll(deg),TimestampGPS,TimestampHDF,x,y,z,heading,pitch,roll
0,1988300000,2023-09-20,11:33:08.300,41.22070882,1.73107144,59.722,338.329,0.021,0.16,1695209588300000.0,1695209587300233,0.0,0.0,0.0,338.329,0.021,0.16
1,1988310000,2023-09-20,11:33:08.310,41.22070889,1.73107141,59.722,338.329,0.019,0.16,1695209588310000.0,1695209587309959,-0.002401261415798217,0.0078079234808683395,0.0,338.329,0.019,0.16
2,1988320000,2023-09-20,11:33:08.320,41.22070895,1.73107137,59.722,338.332,0.019,0.154,1695209588320000.0,1695209587320101,-0.005656958383042365,0.014517907984554768,0.0,338.332,0.019,0.154
3,1988330000,2023-09-20,11:33:08.330,41.22070902,1.73107133,59.722,338.335,0.021,0.145,1695209588330000.0,1695209587330073,-0.008896450803149492,0.022338065318763256,0.0,338.335,0.021,0.145
4,1988340000,2023-09-20,11:33:08.340,41.22070909,1.73107129,59.722,338.337,0.02,0.138,1695209588339999.0,1695209587340152,-0.012135943223256618,0.03015822358429432,0.0,338.337,0.02,0.138
5,1988350000,2023-09-20,11:33:08.350,41.22070916,1.73107126,59.722,338.338,0.019,0.134,1695209588349999.0,1695209587349999,-0.014537204580847174,0.03796614520251751,0.0,338.338,0.019,0.134
6,1988360000,2023-09-20,11:33:08.360,41.22070922,1.73107122,59.722,338.338,0.021,0.128,1695209588359999.0,1695209587359900,-0.017792901548091322,0.04467612970620394,0.0,338.338,0.021,0.128
7,1988370000,2023-09-20,11:33:08.370,41.2207093,1.73107118,59.722,338.338,0.02,0.124,1695209588369999.0,1695209587370066,-0.021016189421061426,0.05360646266490221,0.0,338.338,0.02,0.124
8,1988380000,2023-09-20,11:33:08.380,41.22070936,1.73107114,59.722,338.337,0.018000000000000002,0.121,1695209588380000.0,1695209587380112,-0.024271886271890253,0.06031644716858864,0.0,338.337,0.018000000000000002,0.121
9,1988390000,2023-09-20,11:33:08.390,41.22070943,1.7310711,59.722,338.337,0.015,0.12,1695209588390000.0,1695209587389908,-0.02751137869199738,0.06813660450279713,0.0,338.337,0.015,0.12
10,1988400000,2023-09-20,11:33:08.400,41.22070951,1.73107106,59.722,338.336,0.012,0.122,1695209588400000.0,1695209587399914,-0.030734666506759822,0.07706693559885025,0.0,338.336,0.012,0.122
11,1988410000,2023-09-20,11:33:08.410,41.22070958,1.73107102,59.722,338.337,0.011000000000000001,0.11900000000000001,1695209588410000.0,1695209587410008,-0.03397415892686695,0.08488709293305874,0.0,338.337,0.011000000000000001,0.11900000000000001
12,1988420000,2023-09-20,11:33:08.420,41.22070965,1.73107098,59.722,338.339,0.012,0.11599999999999999,1695209588419999.0,1695209587419925,-0.037213651288766414,0.09270725212991238,0.0,338.339,0.012,0.11599999999999999
13,1988430000,2023-09-20,11:33:08.430,41.22070972,1.73107094,59.722,338.343,0.012,0.11599999999999999,1695209588429999.0,1695209587430177,-0.04045314359245822,0.10052740946412086,0.0,338.343,0.012,0.11599999999999999
14,1988440000,2023-09-20,11:33:08.440,41.22070979,1.7310709,59.722,338.349,0.013000000000000001,0.11199999999999999,1695209588439999.0,1695209587439967,-0.043692635954357684,0.10834756772965193,0.0,338.349,0.013000000000000001,0.11199999999999999
15,1988450000,2023-09-20,11:33:08.450,41.22070987,1.73107086,59.722,338.356,0.018000000000000002,0.107,1695209588449999.0,1695209587449900,-0.046915923710912466,0.11727789882570505,0.0,338.356,0.018000000000000002,0.107
16,1988460000,2023-09-20,11:33:08.460,41.22070994,1.73107082,59.722,338.36,0.019,0.10300000000000001,1695209588460000.0,1695209587460067,-0.05015541607281193,0.12509805895388126,0.0,338.36,0.019,0.10300000000000001
17,1988470000,2023-09-20,11:33:08.470,41.22071001,1.73107077,59.722,338.35900000000004,0.018000000000000002,0.10300000000000001,1695209588470000.0,1695209587470092,-0.05423313949722797,0.13293045107275248,0.0,338.35900000000004,0.018000000000000002,0.10300000000000001
18,1988480000,2023-09-20,11:33:08.480,41.22071009,1.73107073,59.722,338.355,0.016,0.109,1695209588480000.0,1695209587479914,-0.05745642725378275,0.14186078310012817,0.0,338.355,0.016,0.109
19,1988490000,2023-09-20,11:33:08.490,41.22071016,1.73107069,59.722,338.352,0.006999999999999999,0.122,1695209588490000.0,1695209587489912,-0.060695919557474554,0.14968094136565924,0.0,338.352,0.006999999999999999,0.122
20,1988500000,2023-09-20,11:33:08.500,41.22071024,1.73107065,59.722,338.355,0.001,0.126,1695209588500000.0,1695209587500057,-0.06391920731402934,0.15861127339303493,0.0,338.355,0.001,0.126
21,1988510000,2023-09-20,11:33:08.510,41.22071031,1.73107061,59.722,338.36199999999997,0.006,0.111,1695209588509999.0,1695209587509889,-0.06715869955951348,0.166431431658566,0.0,338.36199999999997,0.006,0.111
22,1988520000,2023-09-20,11:33:08.520,41.22071039,1.73107056,59.722,338.36800000000005,0.013999999999999999,0.095,1695209588519999.0,1695209587519840,-0.07122021837858483,0.17537399753928185,0.0,338.36800000000005,0.013999999999999999,0.095
23,1988530000,2023-09-20,11:33:08.530,41.22071047,1.73107052,59.722,338.37,0.016,0.08800000000000001,1695209588529999.0,1695209587529969,-0.07444350607693195,0.18430432956665754,0.0,338.37,0.016,0.08800000000000001
24,1988540000,2023-09-20,11:33:08.540,41.22071054,1.73107048,59.722,338.37,0.017,0.086,1695209588539999.0,1695209587540132,-0.0776829983224161,0.1921244878321886,0.0,338.37,0.017,0.086
25,1988550000,2023-09-20,11:33:08.550,41.22071062,1.73107043,59.722,338.37,0.011000000000000001,0.096,1695209588550000.0,1695209587550061,-0.08174451714148745,0.20106705371290445,0.0,338.37,0.011000000000000001,0.096
26,1988560000,2023-09-20,11:33:08.560,41.2207107,1.73107039,59.722,338.37,0.003,0.10300000000000001,1695209588560000.0,1695209587559966,-0.08496780478162691,0.20999738667160273,0.0,338.37,0.003,0.10300000000000001
27,1988570000,2023-09-20,11:33:08.570,41.22071078,1.73107035,59.722,338.36800000000005,0.002,0.10300000000000001,1695209588570000.0,1695209587569998,-0.08819109247997403,0.21892771869897842,0.0,338.36800000000005,0.002,0.10300000000000001
28,1988580000,2023-09-20,11:33:08.580,41.22071086,1.7310703,59.722,338.36699999999996,0.002,0.099,1695209588580000.0,1695209587580155,-0.09225261118263006,0.22787028551101685,0.0,338.36699999999996,0.002,0.099
29,1988590000,2023-09-20,11:33:08.590,41.22071094,1.73107026,59.722,338.36800000000005,0.001,0.09300000000000001,1695209588589999.0,1695209587590008,-0.09547589888097718,0.23680061660706997,0.0,338.36800000000005,0.001,0.09300000000000001
