, Time(), Date, Local Time, Latitude(deg), Longitude(deg), Altitude(m), Heading(deg), Pitch(deg), Roll(deg),TimestampGPS,TimestampHDF,x,y,z,heading,pitch,roll
0,2631840000,2023-12-21,10:43:51.840,41.22145252,1.72963651,61.523,157.895,-1.264,-0.987,1703155431840000.0,1703155430845985,0.0,0.0,0.0,157.895,-1.264,-0.987
1,2631850000,2023-12-21,10:43:51.850,41.22145221,1.72963667,61.522,157.894,-1.23,-0.9890000000000001,1703155431850000.0,1703155430855963,0.012908629432786256,-0.03461138065904379,-0.0010000000000047748,157.894,-1.23,-0.9890000000000001
2,2631860000,2023-12-21,10:43:51.860,41.22145191,1.72963684,61.521,157.891,-1.1420000000000001,-0.996,1703155431859999.0,1703155430865926,0.02667170367203653,-0.06812483910471201,-0.0020000000000024443,157.891,-1.1420000000000001,-0.996
3,2631870000,2023-12-21,10:43:51.870,41.22145159,1.729637,61.521,157.889,-1.089,-0.993,1703155431869999.0,1703155430875914,0.039564110222272575,-0.10384639538824558,-0.0020000000000024443,157.889,-1.089,-0.993
4,2631880000,2023-12-21,10:43:51.880,41.22145128,1.72963716,61.52,157.886,-1.102,-0.99,1703155431880000.0,1703155430885901,0.052472739946097136,-0.1384577788412571,-0.0030000000000001137,157.886,-1.102,-0.99
5,2631890000,2023-12-21,10:43:51.890,41.22145098,1.72963733,61.518,157.886,-1.153,-0.987,1703155431890000.0,1703155430895925,0.06623581459280103,-0.17197123635560274,-0.005000000000002558,157.886,-1.153,-0.987
6,2631900000,2023-12-21,10:43:51.900,41.22145067,1.72963749,61.516999999999996,157.885,-1.168,-0.9840000000000001,1703155431899999.0,1703155430905924,0.07914444466587156,-0.20658261701464653,-0.006000000000007333,157.885,-1.168,-0.9840000000000001
7,2631910000,2023-12-21,10:43:51.910,41.22145035,1.72963765,61.516000000000005,157.882,-1.119,-0.9790000000000001,1703155431909999.0,1703155430915953,0.09203685173997656,-0.24230417422950268,-0.006999999999997897,157.882,-1.119,-0.9790000000000001
8,2631920000,2023-12-21,10:43:51.920,41.22145005,1.72963783,61.516000000000005,157.88,-1.042,-0.981,1703155431920000.0,1703155430925943,0.10663814842700958,-0.27582988049834967,-0.006999999999997897,157.88,-1.042,-0.981
9,2631930000,2023-12-21,10:43:51.930,41.22144974,1.72963799,61.515,157.879,-0.986,-0.987,1703155431929999.0,1703155430935927,0.11954677890753374,-0.3104412639513612,-0.008000000000002672,157.879,-0.986,-0.987
