, Time(), Date, Local Time, Latitude(deg), Longitude(deg), Altitude(m), Heading(deg), Pitch(deg), Roll(deg),TimestampGPS,TimestampHDF,x,y,z,heading,pitch,roll
0,2991940000,2023-12-21,10:49:51.940,41.22070744,1.73106178,60.224,336.67900000000003,-0.313,0.365,1703155791939999.0,1703155790941741,0.0,0.0,0.0,336.67900000000003,-0.313,0.365
1,2991950000,2023-12-21,10:49:51.950,41.22070746,1.73106177,60.224,336.67400000000004,-0.314,0.361,1703155791950000.0,1703155790951747,-0.0008058217354118824,0.0022325823083519936,0.0,336.67400000000004,-0.314,0.361
2,2991960000,2023-12-21,10:49:51.960,41.22070748,1.73106176,60.223,336.673,-0.316,0.358,1703155791960000.0,1703155790961762,-0.0016116434708237648,0.004465165548026562,-0.0009999999999976694,336.673,-0.316,0.358
3,2991970000,2023-12-21,10:49:51.970,41.22070749,1.73106175,60.224,336.67199999999997,-0.317,0.354,1703155791969999.0,1703155790971712,-0.002433669869787991,0.0055875759571790695,0.0,336.67199999999997,-0.317,0.354
4,2991980000,2023-12-21,10:49:51.980,41.22070751,1.73106174,60.224,336.667,-0.312,0.35100000000000003,1703155791979999.0,1703155790981748,-0.0032394916051998734,0.007820158265531063,0.0,336.667,-0.312,0.35100000000000003
5,2991990000,2023-12-21,10:49:51.990,41.22070753,1.73106173,60.223,336.665,-0.309,0.348,1703155791990000.0,1703155790991752,-0.004045313398819417,0.010052740573883057,-0.0009999999999976694,336.665,-0.309,0.348
6,2992000000,2023-12-21,10:49:52.000,41.22070754,1.73106172,60.223,336.664,-0.313,0.345,1703155792000000.0,1703155791001715,-0.004867339739575982,0.01117515005171299,-0.0009999999999976694,336.664,-0.313,0.345
7,2992010000,2023-12-21,10:49:52.010,41.22070756,1.73106171,60.223,336.658,-0.317,0.341,1703155792009999.0,1703155791012811,-0.0056731614749878645,0.013407732360064983,-0.0009999999999976694,336.658,-0.317,0.341
8,2992020000,2023-12-21,10:49:52.020,41.22070758,1.7310617,60.223,336.656,-0.316,0.33899999999999997,1703155792020000.0,1703155791022040,-0.006478983268607408,0.015640316531062126,-0.0009999999999976694,336.656,-0.316,0.33899999999999997
9,2992030000,2023-12-21,10:49:52.030,41.2207076,1.73106169,60.223,336.655,-0.317,0.335,1703155792030000.0,1703155791031962,-0.00728480500401929,0.017872899770736694,-0.0009999999999976694,336.655,-0.317,0.335
