, Time(), Date, Local Time, Latitude(deg), Longitude(deg), Altitude(m), Heading(deg), Pitch(deg), Roll(deg),TimestampGPS,TimestampHDF,x,y,z,heading,pitch,roll
0,1314390000,2023-12-18,18:21:54.390,41.21406283,1.72478531,54.505,243.956,0.252,-0.9540000000000001,1702923714390000.0,1702923713395466,0.0,0.0,0.0,243.956,0.252,-0.9540000000000001
1,1314400000,2023-12-18,18:21:54.400,41.21406282,1.72478531,54.505,243.956,0.253,-0.9540000000000001,1702923714399999.0,1702923713405586,-1.628266181796789e-05,-0.0011101728305220604,0.0,243.956,0.253,-0.9540000000000001
2,1314410000,2023-12-18,18:21:54.410,41.21406283,1.72478531,54.506,243.957,0.251,-0.955,1702923714409999.0,1702923713415376,0.0,0.0,0.0009999999999976694,243.957,0.251,-0.955
3,1314420000,2023-12-18,18:21:54.420,41.21406283,1.72478531,54.506,243.957,0.248,-0.955,1702923714420000.0,1702923713425466,0.0,0.0,0.0009999999999976694,243.957,0.248,-0.955
4,1314430000,2023-12-18,18:21:54.430,41.21406283,1.72478531,54.506,243.957,0.249,-0.955,1702923714429999.0,1702923713435347,0.0,0.0,0.0009999999999976694,243.957,0.249,-0.955
5,1314440000,2023-12-18,18:21:54.440,41.21406283,1.72478531,54.506,243.956,0.253,-0.9540000000000001,1702923714439999.0,1702923713445385,0.0,0.0,0.0009999999999976694,243.956,0.253,-0.9540000000000001
6,1314450000,2023-12-18,18:21:54.450,41.21406283,1.72478531,54.506,243.956,0.253,-0.956,1702923714450000.0,1702923713455454,0.0,0.0,0.0009999999999976694,243.956,0.253,-0.956
7,1314460000,2023-12-18,18:21:54.460,41.21406283,1.72478531,54.506,243.956,0.25,-0.9570000000000001,1702923714460000.0,1702923713465326,0.0,0.0,0.0009999999999976694,243.956,0.25,-0.9570000000000001
8,1314470000,2023-12-18,18:21:54.470,41.21406283,1.72478531,54.506,243.955,0.248,-0.958,1702923714469999.0,1702923713475350,0.0,0.0,0.0009999999999976694,243.955,0.248,-0.958
9,1314480000,2023-12-18,18:21:54.480,41.21406283,1.72478531,54.506,243.955,0.248,-0.958,1702923714479999.0,1702923713485420,0.0,0.0,0.0009999999999976694,243.955,0.248,-0.958
10,1314490000,2023-12-18,18:21:54.490,41.21406282,1.72478531,54.506,243.954,0.252,-0.961,1702923714490000.0,1702923713495327,-1.628266181796789e-05,-0.0011101728305220604,0.0009999999999976694,243.954,0.252,-0.961
11,1314500000,2023-12-18,18:21:54.500,41.21406283,1.72478531,54.506,243.953,0.255,-0.9640000000000001,1702923714500000.0,1702923713505343,0.0,0.0,0.0009999999999976694,243.953,0.255,-0.9640000000000001
12,1314510000,2023-12-18,18:21:54.510,41.21406282,1.72478531,54.506,243.953,0.255,-0.966,1702923714509999.0,1702923713515398,-1.628266181796789e-05,-0.0011101728305220604,0.0009999999999976694,243.953,0.255,-0.966
13,1314520000,2023-12-18,18:21:54.520,41.21406282,1.72478531,54.506,243.952,0.252,-0.9670000000000001,1702923714520000.0,1702923713525489,-1.628266181796789e-05,-0.0011101728305220604,0.0009999999999976694,243.952,0.252,-0.9670000000000001
14,1314530000,2023-12-18,18:21:54.530,41.21406283,1.72478531,54.506,243.951,0.248,-0.968,1702923714530000.0,1702923713535580,0.0,0.0,0.0009999999999976694,243.951,0.248,-0.968
15,1314540000,2023-12-18,18:21:54.540,41.21406282,1.72478531,54.506,243.951,0.245,-0.97,1702923714539999.0,1702923713545640,-1.628266181796789e-05,-0.0011101728305220604,0.0009999999999976694,243.951,0.245,-0.97
16,1314550000,2023-12-18,18:21:54.550,41.21406282,1.7247853,54.506,243.951,0.245,-0.972,1702923714549999.0,1702923713555455,-0.0008545989403501153,-0.0010978775098919868,0.0009999999999976694,243.951,0.245,-0.972
