, Time(), Date, Local Time, Latitude(deg), Longitude(deg), Altitude(m), Heading(deg), Pitch(deg), Roll(deg),TimestampGPS,TimestampHDF,x,y,z,heading,pitch,roll
0,2161490000,2023-12-18,18:36:01.490,41.22123165,1.72971734,61.982,156.945,-0.941,-0.634,1702924561490000.0,1702924560497325,0.0,0.0,0.0,156.945,-0.941,-0.634
1,2161500000,2023-12-18,18:36:01.500,41.22123157,1.72971738,61.981,156.95600000000002,-0.945,-0.634,1702924561500000.0,1702924560507417,0.0032231216900981963,-0.008930384181439877,-0.0009999999999976694,156.95600000000002,-0.945,-0.634
2,2161510000,2023-12-18,18:36:01.510,41.2212315,1.72971742,61.981,156.965,-0.9420000000000001,-0.634,1702924561510000.0,1702924560517232,0.006462465389631689,-0.016750595532357693,-0.0009999999999976694,156.965,-0.9420000000000001,-0.634
3,2161520000,2023-12-18,18:36:01.520,41.22123142,1.72971746,61.981,156.974,-0.9309999999999999,-0.635,1702924561520000.0,1702924560527354,0.009685587021522224,-0.025680982507765293,-0.0009999999999976694,156.974,-0.9309999999999999,-0.635
4,2161530000,2023-12-18,18:36:01.530,41.22123135,1.72971749,61.98,156.984,-0.914,-0.637,1702924561530000.0,1702924560537411,0.01208670629421249,-0.03348894603550434,-0.0020000000000024443,156.984,-0.914,-0.637
5,2161540000,2023-12-18,18:36:01.540,41.22123127,1.72971753,61.98,156.993,-0.903,-0.636,1702924561540000.0,1702924560547498,0.015309827984310687,-0.04241933114826679,-0.0020000000000024443,156.993,-0.903,-0.636
6,2161550000,2023-12-18,18:36:01.550,41.22123119,1.72971757,61.98,157.003,-0.9079999999999999,-0.639,1702924561550000.0,1702924560557334,0.018532949674408883,-0.05134971812367439,-0.0020000000000024443,157.003,-0.9079999999999999,-0.639
7,2161560000,2023-12-18,18:36:01.560,41.22123112,1.72971761,61.979,157.012,-0.912,-0.64,1702924561560000.0,1702924560567464,0.021772293373942375,-0.05916992761194706,-0.0030000000000001137,157.012,-0.912,-0.64
8,2161570000,2023-12-18,18:36:01.570,41.22123104,1.72971765,61.978,157.02,-0.905,-0.642,1702924561570000.0,1702924560577466,0.024995415122248232,-0.06810031551867723,-0.003999999999997783,157.02,-0.905,-0.642
9,2161580000,2023-12-18,18:36:01.580,41.22123096,1.72971769,61.978,157.029,-0.89,-0.644,1702924561580000.0,1702924560587311,0.02821853681234643,-0.07703069876879454,-0.003999999999997783,157.029,-0.89,-0.644
10,2161590000,2023-12-18,18:36:01.590,41.22123088,1.72971772,61.978,157.037,-0.875,-0.6459999999999999,1702924561590000.0,1702924560597363,0.03060343413380906,-0.0859488369897008,-0.003999999999997783,157.037,-0.875,-0.6459999999999999
11,2161600000,2023-12-18,18:36:01.600,41.2212308,1.72971776,61.977,157.046,-0.8740000000000001,-0.648,1702924561600000.0,1702924560607252,0.033826555823907256,-0.09487922303378582,-0.005000000000002558,157.046,-0.8740000000000001,-0.648
12,2161610000,2023-12-18,18:36:01.610,41.22123073,1.7297178,61.977,157.055,-0.879,-0.65,1702924561610000.0,1702924560617295,0.03706589963985607,-0.10269943345338106,-0.005000000000002558,157.055,-0.879,-0.65
13,2161620000,2023-12-18,18:36:01.620,41.22123065,1.72971784,61.976000000000006,157.063,-0.8759999999999999,-0.649,1702924561620000.0,1702924560627366,0.04028902138816193,-0.11162981949746609,-0.005999999999993122,157.063,-0.8759999999999999,-0.649
14,2161630000,2023-12-18,18:36:01.630,41.22123057,1.72971788,61.976000000000006,157.072,-0.8640000000000001,-0.649,1702924561629999.0,1702924560637235,0.043512143078260124,-0.12056020554155111,-0.005999999999993122,157.072,-0.8640000000000001,-0.649
15,2161640000,2023-12-18,18:36:01.640,41.22123049,1.72971792,61.976000000000006,157.08100000000002,-0.847,-0.6509999999999999,1702924561639999.0,1702924560647271,0.04673526488477364,-0.12949059065431356,-0.005999999999993122,157.08100000000002,-0.847,-0.6509999999999999
16,2161650000,2023-12-18,18:36:01.650,41.2212304,1.72971796,61.975,157.09,-0.8420000000000001,-0.649,1702924561649999.0,1702924560657352,0.049942164681851864,-0.13953114952892065,-0.006999999999997897,157.09,-0.8420000000000001,-0.649
17,2161660000,2023-12-18,18:36:01.660,41.22123032,1.729718,61.975,157.1,-0.85,-0.65,1702924561659999.0,1702924560667441,0.05316528643015772,-0.14846153650432825,-0.006999999999997897,157.1,-0.85,-0.65
18,2161670000,2023-12-18,18:36:01.670,41.22123024,1.72971804,61.975,157.108,-0.855,-0.647,1702924561669999.0,1702924560677285,0.0563884082948789,-0.1573919216170907,-0.006999999999997897,157.108,-0.855,-0.647
19,2161680000,2023-12-18,18:36:01.680,41.22123016,1.72971808,61.975,157.11700000000002,-0.8490000000000001,-0.644,1702924561679999.0,1702924560687358,0.05961153010139242,-0.16632230766117573,-0.006999999999997897,157.11700000000002,-0.8490000000000001,-0.644
20,2161690000,2023-12-18,18:36:01.690,41.22123007,1.72971812,61.974,157.126,-0.8340000000000001,-0.643,1702924561690000.0,1702924560697234,0.06281842989847064,-0.1763628674671054,-0.008000000000002672,157.126,-0.8340000000000001,-0.643
21,2161700000,2023-12-18,18:36:01.700,41.22122999,1.72971816,61.974,157.134,-0.8240000000000001,-0.638,1702924561700000.0,1702924560707258,0.06604155170498416,-0.18529325257986784,-0.008000000000002672,157.134,-0.8240000000000001,-0.638
22,2161710000,2023-12-18,18:36:01.710,41.2212299,1.72971821,61.974,157.144,-0.826,-0.635,1702924561710000.0,1702924560717346,0.07008667598711327,-0.19534606114029884,-0.008000000000002672,157.144,-0.826,-0.635
23,2161720000,2023-12-18,18:36:01.720,41.22122982,1.72971824,61.973,157.15200000000002,-0.8270000000000001,-0.631,1702924561720000.0,1702924560727231,0.07247157336678356,-0.20426419842988253,-0.009000000000000341,157.15200000000002,-0.8270000000000001,-0.631
24,2161730000,2023-12-18,18:36:01.730,41.22122973,1.72971829,61.974,157.159,-0.8240000000000001,-0.625,1702924561730000.0,1702924560737245,0.07651669770712033,-0.21431700512766838,-0.008000000000002672,157.159,-0.8240000000000001,-0.625
25,2161740000,2023-12-18,18:36:01.740,41.22122965,1.72971833,61.973,157.167,-0.816,-0.622,1702924561740000.0,1702924560747327,0.07973981957184151,-0.2232473911717534,-0.009000000000000341,157.167,-0.816,-0.622
26,2161750000,2023-12-18,18:36:01.750,41.22122956,1.72971837,61.973,157.173,-0.8059999999999999,-0.616,1702924561750000.0,1702924560757222,0.08294671942712739,-0.23328795097768307,-0.009000000000000341,157.173,-0.8059999999999999,-0.616
27,2161760000,2023-12-18,18:36:01.760,41.22122947,1.72971841,61.973,157.18,-0.807,-0.61,1702924561760000.0,1702924560767266,0.08615361934062093,-0.24332850985229015,-0.009000000000000341,157.18,-0.807,-0.61
28,2161770000,2023-12-18,18:36:01.770,41.22122938,1.72971845,61.973,157.187,-0.8109999999999999,-0.604,1702924561770000.0,1702924560777387,0.08936051919590682,-0.2533690705895424,-0.009000000000000341,157.187,-0.8109999999999999,-0.604
